biz_name,biz_group,date,status,freshness_days,freshness_label,total_count,push_rate,violation_rate,review_count,reject_count,error_value,total_7d_avg,push_rate_7d_avg,violation_rate_7d_avg,total_vs_7d_pct,push_vs_7d_pct,vio_vs_7d_pct,source_file,total_vs_7d_pct_point,push_vs_7d_pct_point,vio_vs_7d_pct_point
steam昵称简介,Steam,2026-03-25,⚠️,0,当日,22968.0,0.0363113897596656,0.0129745733194009,6120.0,298.0,488.0,21008.428571428572,0.03235855432534733,0.010981660215654094,0.09327548806941426,0.12215735581307809,0.18147648575995415,表1_steam昵称简介.xlsx,9.33,12.22,18.15
TapTap-融媒体长文本,TapTap,2026-03-25,⚠️,0,当日,45175.0,0.855362479247371,0.00920863309352518,38641.0,,,45378.0,0.8464750333229311,0.0119092458600768,-0.0044735334302966195,0.010499359785664627,-0.2267660604442509,表2_TapTap-融媒体长文本.xlsx,-0.45,1.05,-22.68
国内小镇舆情,国内小镇,2026-03-25,⚠️,0,当日,27587.0,0.0859462790444775,0.000434987494109544,2371.0,,,42707.42857142857,0.09465497004086702,0.00026150140261269956,-0.3540468035002275,-0.09200458246016627,0.6634231777096374,表2_国内小镇舆情.xlsx,-35.4,-9.2,66.34
海外小镇舆情,海外小镇,2026-03-25,⚠️,0,当日,442.0,0.938914027149321,0.0,415.0,,,430.0,0.9388035291824149,0.0002806623631770986,0.027906976744186046,0.0001177008431171199,-1.0,表2_海外小镇舆情.xlsx,2.79,0.01,-100.0
融媒体短文本,融媒体,2026-03-25,⚠️,0,当日,66349.0,0.0145292317894769,0.00292393253854617,13512.0,194.0,60.0,68341.57142857143,0.013717629575418071,0.0024955043695954727,-0.029156066899251955,0.05916490233219426,0.17167999149612656,表1_融媒体短文本.xlsx,-2.92,5.92,17.17
国内小镇照片,国内小镇,2026-03-25,⚡,0,当日,830704.0,0.013153903195362,7.46354898977253e-05,10927.0,,,1100409.0,0.014562224188742015,9.410338043317249e-05,-0.24509523277254183,-0.09671056942446889,-0.20687769605973202,表2_国内小镇照片.xlsx,-24.51,-9.67,-20.69
增量昵称简介,昵称资料,2026-03-25,⚡,0,当日,77615.0,0.0126908458416543,0.002203182374541,14645.0,171.0,13.0,108239.85714285714,0.013289788514396357,0.002600500855627466,-0.28293512160162815,-0.04506788592559202,-0.1527853683365155,表1_增量昵称简介.xlsx,-28.29,-4.51,-15.28
steam头像封面,Steam,2026-03-25,✓,0,当日,43358.0,0.259167858296047,0.00897181604317542,11237.0,,0.0,25726.571428571428,0.22449538792348786,0.00897181604317542,0.6853392268138556,0.15444624806446422,0.0,表2_steam头像封面.xlsx,68.53,15.44,0.0
TapTap-头像-用户资料图片,TapTap,2026-03-25,✓,0,当日,30624.0,0.312238766980146,0.00440830721003135,9562.0,,,45246.42857142857,0.31195556539554453,0.004706359260660841,-0.32317309969216196,0.0009078266779514036,-0.06332964274972078,表2_TapTap-头像-用户资料图片.xlsx,-32.32,0.09,-6.33
国内小镇书籍,国内小镇,2026-03-25,✓,0,当日,7502.0,0.0110637163423087,0.0021327645961077,83.0,,,9635.285714285714,0.01315742116715615,0.0012640456442048183,-0.22140347235607213,-0.15912729388596328,0.6872528344887204,表2_国内小镇书籍.xlsx,-22.14,-15.91,68.73
战绩头像,战绩,2026-03-25,✓,0,当日,62309.0,0.088269752363222,4.81471376526665e-05,5500.0,,0.0,88241.71428571429,0.07764022333191148,4.81471376526665e-05,-0.29388271177221015,0.13690750200278728,0.0,表2_战绩头像.xlsx,-29.39,13.69,0.0
海外小镇书籍,海外小镇,2026-03-25,✓,0,当日,45263.0,0.0195082075867707,0.000220931003247686,883.0,,,49261.142857142855,0.01865977889397594,0.0003099921185976315,-0.08116220260535684,0.04546831436832645,-0.28730122479515824,表2_海外小镇书籍.xlsx,-8.12,4.55,-28.73
海外小镇照片,海外小镇,2026-03-25,✓,0,当日,3127868.0,0.00848852956710449,5.49895328063716e-05,26551.0,,,3126250.5714285714,0.008583185714691927,5.8164833872701386e-05,0.000517370100212261,-0.011028090354076042,-0.05459142328643455,表2_海外小镇照片.xlsx,0.05,-1.1,-5.46
steam成就标题简介,Steam,2026-03-15,🔴,10,滞后10天,222.0,0.027027027027027,0.0,58.0,0.0,0.0,312.25,0.01611358713831176,0.0,-0.289031224979984,0.6772818364426988,,表1_steam成就标题简介.xlsx,-28.9,67.73,
战绩昵称,战绩,2026-03-25,🔴,0,当日,38304.0,0.0100511695906433,0.000261069340016708,5082.0,10.0,15507.0,44660.57142857143,0.009724884579046605,0.0003201189779767359,-0.1423307231690465,0.033551556210724996,-0.18446153468701634,表1_战绩昵称.xlsx,-14.23,3.36,-18.45
